species,common_name,date_time,lon,lat
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.888633,6.9055
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.888633,6.9055
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.888633,6.9055
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.888733,7.083933
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.888733,7.083933
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.888733,7.083933
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,59.536533,7.268367
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,59.536533,7.268367
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.721067,6.972467
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.721067,6.972467
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,49.838333,1.067067
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,49.838333,1.067067
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,52.888733,3.519867
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.234833,3.4528
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,48.9055,1.586833
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,48.9055,1.586833
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,47.368967,0.6539
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,47.368967,0.6539
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,47.368967,0.6539
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,47.368967,0.6539
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,47.368967,0.6539
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,45.989233,-0.3018
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,45.721067,-1.486233
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,50.1509,-0.268267
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,50.1509,-0.268267
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,53.788133,-0.167667
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,53.788133,-0.167667
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,53.9055,-3.268267
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,53.4024,-0.4024
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.217967,4.6036
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,49.7043,-2.6539
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,49.7043,-2.6539
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,49.7043,-2.6539
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,49.7043,-2.6539
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,49.7043,-2.6539
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,49.7043,-2.6539
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,47.20125,-4.285113
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.821617,2.134203
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.234743,2.20123
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,58.318617,1.8551
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,58.318617,1.8551
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,57.721067,2.0001
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.167767,-1.067067
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.35213,-1.10061
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,57.35214,-2.335403
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,57.35214,-2.335403
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,58,-3.40244
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,58.737803,-4.385673
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,58.737803,-4.385673
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,58.737803,-4.385673
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,59.838413,-0.637183
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,57.368967,1.218067
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.989233,1.938933
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.9558,2.620367
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.9558,2.620367
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.9558,2.620367
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.9558,2.620367
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,57.570067,4.838433
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,57.570067,4.838433
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.80485,5.436033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,56.80485,5.436033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.80484,4.838343
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.80484,4.838343
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.80484,4.838343
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,55.117417,3.838383
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.167767,4.972467
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.167767,4.972467
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,54.167767,4.972467
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,53.368927,4.8048
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,52.335333,4.00005
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.385663,3.788083
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.385663,3.788083
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,49.368967,3.234733
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,47.687463,2.687533
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,45.90547,1.737763
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,45.90547,1.737763
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,45.90547,1.737763
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,45.90547,1.737763
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,45.117367,0.4024
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,45.60362,0.26831700000000003
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.80488,0.536533
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.80488,0.536533
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,47.65395,-0.620427
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,47.519817,-2.3019
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.9557,-2.586933
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.9557,-2.586933
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.9557,-2.586933
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.9557,-2.586933
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.9557,-2.586933
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.3521,-2.620367
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.3521,-2.620367
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.3521,-2.620367
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.3521,-2.620367
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.3521,-2.620367
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.519817,-1.838333
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.519817,-1.838333
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.519817,-1.838333
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,47.1006,-1.938933
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,47.1006,-1.938933
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,47.3019,-2.3018
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,46.40243,-3.939033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,41.637133,-5.268267
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,43.368927,-3.9054
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.888733,-0.939033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.888733,-0.939033
Carcharhinus longimanus,Oceanic Whitetip Shark,NA,51.888733,-0.939033
